N_z,M_mid,E_exact,E_FFCT,abs_error,relative_error
9,14,0.27355690728851517,0.27355662798932767,2.7929918750002614e-7,9.530993302984778e-10
12,14,0.27355690728851517,0.2735569074757868,1.8727164263765417e-10,6.390583473567296e-13
15,14,0.27355690728851517,0.2735569072898579,1.3427037259816643e-12,4.5819324913799664e-15
18,14,0.27355690728851517,0.27355690728851273,2.4424906541753444e-15,8.33491936583093e-18
21,14,0.27355690728851517,0.2735569072885225,7.327471962526033e-15,2.500475809749279e-17
24,14,0.27355690728851517,0.2735569072885212,6.050715484207103e-15,2.0647868428990257e-17
27,14,0.27355690728851517,0.27355690728852333,8.1601392309949e-15,2.784620788129879e-17
30,14,0.27355690728851517,0.2735569072885209,5.717648576819556e-15,1.9511288515467857e-17
33,14,0.27355690728851517,0.2735569072885228,7.605027718682322e-15,2.595190802542812e-17
36,14,0.27355690728851517,0.2735569072885227,7.549516567451064e-15,2.5762478039841056e-17
39,14,0.27355690728851517,0.27355690728852117,5.995204332975845e-15,2.0458438443403192e-17
42,14,0.27355690728851517,0.2735569072885217,6.5503158452884236e-15,2.2352738299273856e-17
45,14,0.27355690728851517,0.27355690728852183,6.661338147750939e-15,2.273159827044799e-17
48,14,0.27355690728851517,0.27355690728851983,4.6629367034256575e-15,1.5912118789313592e-17
51,14,0.27355690728851517,0.27355690728852206,6.8833827526759706e-15,2.3489318212796256e-17
54,14,0.27355690728851517,0.27355690728852305,7.882583474838611e-15,2.6899057953363456e-17
57,14,0.27355690728851517,0.2735569072885206,5.440092820663267e-15,1.8564138587532525e-17
60,14,0.27355690728851517,0.2735569072885232,8.049116928532385e-15,2.7467347910124655e-17
3,15,0.06649274125669909,0.06517401404150253,0.0013187272151965607,4.500113433556269e-6
6,15,0.06649274125669909,0.06650191453394401,9.173277244922673e-6,3.130350817356834e-8
9,15,0.06649274125669909,0.06649271279194338,2.8464755705281952e-8,9.713504662383405e-11
12,15,0.06649274125669909,0.0664927412682324,1.1533315968925706e-11,3.935706302798608e-14
15,15,0.06649274125669909,0.06649274125672824,2.9157232184218174e-14,9.949809992960672e-17
18,15,0.06649274125669909,0.06649274125670095,1.8596235662471372e-15,6.345904517166731e-18
21,15,0.06649274125669909,0.0664927412567013,2.2065682614424986e-15,7.529841927085897e-18
24,15,0.06649274125669909,0.06649274125670093,1.8457457784393227e-15,6.298547020769964e-18
27,15,0.06649274125669909,0.06649274125670121,2.123301534595612e-15,7.245696948705296e-18
30,15,0.06649274125669909,0.06649274125670125,2.1649348980190553e-15,7.387769437895597e-18
33,15,0.06649274125669909,0.06649274125670097,1.887379141862766e-15,6.440619509960264e-18
36,15,0.06649274125669909,0.06649274125670142,2.3314683517128287e-15,7.956059394656796e-18
39,15,0.06649274125669909,0.06649274125670117,2.0816681711721685e-15,7.103624459514997e-18
42,15,0.06649274125669909,0.0664927412567016,2.5118795932144167e-15,8.571706847814763e-18
45,15,0.06649274125669909,0.06649274125670122,2.1371793224034263e-15,7.293054445102063e-18
48,15,0.06649274125669909,0.06649274125670096,1.8735013540549517e-15,6.393262013563497e-18
51,15,0.06649274125669909,0.06649274125670075,1.6653345369377348e-15,5.682899567611997e-18
54,15,0.06649274125669909,0.06649274125670146,2.373101715136272e-15,8.098131883847097e-18
57,15,0.06649274125669909,0.06649274125670077,1.6792123247455493e-15,5.7302570640087644e-18
60,15,0.06649274125669909,0.06649274125670174,2.6506574712925612e-15,9.045281811782429e-18
3,16,0.01062608082835616,0.010500206549023363,0.00012587427933279625,4.295418558418843e-7
6,16,0.01062608082835616,0.010626845621021206,7.647926650467679e-7,2.6098299225206103e-9
9,16,0.01062608082835616,0.010626079205201727,1.6231544320427505e-9,5.5389613410558415e-12
12,16,0.01062608082835616,0.010626080828744715,3.885555072136171e-13,1.3259329431778213e-15
15,16,0.01062608082835616,0.01062608082835553,6.29704621779581e-16,2.1488463990032866e-18
18,16,0.01062608082835616,0.010626080828355405,7.546047120499111e-16,2.5750638665741863e-18
21,16,0.01062608082835616,0.0106260808283554,7.598088824778415e-16,2.592822927722974e-18
24,16,0.01062608082835616,0.010626080828355403,7.563394355258879e-16,2.580983553623782e-18
27,16,0.01062608082835616,0.01062608082835545,7.095019016745141e-16,2.421152003284695e-18
30,16,0.01062608082835616,0.010626080828355398,7.615436059538183e-16,2.59874261477257e-18
33,16,0.01062608082835616,0.010626080828355446,7.129713486264677e-16,2.4329913773838863e-18
36,16,0.01062608082835616,0.010626080828355488,6.713379852030243e-16,2.2909188881935867e-18
39,16,0.01062608082835616,0.010626080828355398,7.615436059538183e-16,2.59874261477257e-18
42,16,0.01062608082835616,0.010626080828355403,7.563394355258879e-16,2.580983553623782e-18
